StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,1_1,1_2,1_3,1_8,1_9,2_1,2_2,2_3,2_8,2_9,T1_1,T1_2,T1_3,T1_4,T1_5,T1_6,T1_7,GA1_1,GA1_2,GA1_3,GA1_4,GA1_5,GA2,GA3_1,GA3_2,GA3_3,GA3_4,GA3_5,GA3_6,GA3_7,GA3_8,GA4,GA5,GA6,FB1_1,FB1_2,FB1_3,FB1_4,FB1_5,FB2,FB3_1,FB3_2,FB3_3,FB3_4,FB3_5,FB3_6,FB3_7,FB3_8,FB4,FB5,FB6,N1_1,N1_2,N1_3,N1_4,N1_5,N2,N3_1,N3_2,N3_3,N3_4,N3_5,N3_6,N3_7,N3_8,N4,N5,N6,1,2_1,imid,Q_Language,group,SC1,SC2,SC3,controls
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - First issue,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - Second issue,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - Third issue,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - Forth issue,What are the most important issues in the Netherlands today? (Please describe the top 5 most important issues) - Fifth issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - First issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - Second issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - Third issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - Forth issue,What are the most important issues in the news today? (Please describe the top 5 most important issues) - Fifth issue,Please indicate the level of agreement with the following statements: - I think I can trust the news most of the time.,Please indicate the level of agreement with the following statements: - I think I can trust most news organizations most of the time.​,Please indicate the level of agreement with the following statements: - I think I can trust journalists most of the time.​,Please indicate the level of agreement with the following statements: - The news media are independent from undue political or government influence most of the time.​,Please indicate the level of agreement with the following statements: - The news media are far removed from ordinary people’s opinions.​,Please indicate the level of agreement with the following statements: - The news media promote their own political agenda.,Please indicate the level of agreement with the following statements: - The news media give a biased view of reality.​,Please indicate the level of agreement with the following statements: - I think you can trust news on Google Assistant most of the time.,Please indicate the level of agreement with the following statements: - The news on Google Assistant is independent from undue political or government influence most of the time.​,Please indicate the level of agreement with the following statements: - The news on Google Assistant is far removed from ordinary people’s opinions.​,Please indicate the level of agreement with the following statements: - The news on Google Assistant promotes their own political agenda.​,Please indicate the level of agreement with the following statements: - The news on Google Assistant gives a biased view of reality.​,When I use Google Assistant in my Google home I do it with:,"In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - politics and national government","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - international affairs","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - science and technology","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - public health issues","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - economy","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - entertainment","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - celebrities and lifestyle","In the past week, how much attention do you pay to news stories about the following topics on Google Assistant: - sports","If Google Assistant in Google Home could account for my interests, the news I would get would have fewer or more topics:","If Google Assistant in Google Home could account for my interests, the news I would get would have less or more depth:",I adjust the information I receive from Google Assistant:,Please indicate the level of agreement with the following statements: - I think I can trust news on Facebook most of the time.,Please indicate the level of agreement with the following statements: - The news on Facebook is independent from undue political or government influence most of the time.​,Please indicate the level of agreement with the following statements: - The news on Facebook is far removed from ordinary people’s opinions.​,Please indicate the level of agreement with the following statements: - The news on Facebook  promotes their own political agenda.​,Please indicate the level of agreement with the following statements: - The news on Facebook  gives a biased view of reality.​,When I use Facebook I do it with:,"In the past week, how much attention do you pay to news stories about the following topics on Facebook: - politics and national government","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - international affairs","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - science and technology","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - public health issues","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - economy","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - entertainment","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - celebrities and lifestyle","In the past week, how much attention do you pay to news stories about the following topics on Facebook: - sports","If Facebook could account for my interests, the news I would get would have fewer or more topics:","If Facebook could account for my interests, the news I would get would have less or more depth:",I adjust the information I receive from Facebook:,Please indicate the level of agreement with the following statements: - I think you can trust news on NOS.nl most of the time.,Please indicate the level of agreement with the following statements: - The news on NOS.nl is independent from undue political or government influence most of the time.​,Please indicate the level of agreement with the following statements: - The news on NOS.nl is far removed from ordinary people’s opinions.​,Please indicate the level of agreement with the following statements: - The news on NOS.nl  promotes their own political agenda.​,Please indicate the level of agreement with the following statements: - The news on NOS.nl gives a biased view of reality.​,When I use NOS I do it with:,"In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - politics and national government","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - international affairs","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - science and technology","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - public health issues","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - economy","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - entertainment","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - celebrities and lifestyle","In the past week, how much attention do you pay to news stories about the following topics on NOS.nl: - sports","If NOS.nl could account for my interests, the news I would get would have fewer or more topics:","If NOS.nl could account for my interests, the news I would get would have less or more depth:",I adjust the information I receive from NOS:,How interested are you in politics?,It is often said that political opinions can be placed on a left-right scale. - Political Opinion,imid,Q_Language,group,SC1,SC2,SC3,controls
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_8""}","{""ImportId"":""QID38_9""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID40_5""}","{""ImportId"":""QID40_6""}","{""ImportId"":""QID40_7""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_5""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID43_5""}","{""ImportId"":""QID43_6""}","{""ImportId"":""QID43_7""}","{""ImportId"":""QID43_8""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID51_3""}","{""ImportId"":""QID51_4""}","{""ImportId"":""QID51_5""}","{""ImportId"":""QID51_6""}","{""ImportId"":""QID51_7""}","{""ImportId"":""QID51_8""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID55_5""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_4""}","{""ImportId"":""QID57_5""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID57_7""}","{""ImportId"":""QID57_8""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_1""}","{""ImportId"":""imid""}","{""ImportId"":""Q_Language""}","{""ImportId"":""group""}","{""ImportId"":""SC1""}","{""ImportId"":""SC2""}","{""ImportId"":""SC3""}","{""ImportId"":""controls""}"
2021-10-20 02:48:50,2021-10-20 02:50:51,IP Address,100,120,True,2021-10-20 02:50:51,R_1mIyIOOQgEiGxbc,anonymous,NL,0.89999997615814208984375,Geen,?,?,?,?,?,?,?,?,?,Somewhat disagree - 3,Strongly disagree - 1,Disagree - 2,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat agree -5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree of disagree - 4,Somewhat disagree - 3,Disagree - 2,Disagree - 2,Somewhat agree - 5,Moderately too little attention - 2,Moderately too little - 2,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Somewhat disagree - 3,Somewhat disagree - 3,Sometimes - 3,Slightly interesting - 2,5,2687318,NL,NOS,0,0,5,
2021-10-20 02:49:31,2021-10-20 02:52:12,IP Address,100,160,True,2021-10-20 02:52:12,R_1FIZM6aMCdhtk9F,anonymous,NL,1,gezondheidszorg,kabinetsformatie,terrorisme,klimaatverandering,woningnood,kabinetsformatie,gezondheidszorg,terrorisme,woningnood,klimaatverandering,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Seldom - 2,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Seldom - 2,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Seldom - 2,Moderately interesting - 3,6,4022408,NL,FB,2,5,2,
2021-10-20 02:50:29,2021-10-20 02:54:37,IP Address,100,247,True,2021-10-20 02:54:37,R_30eCWI1w0iuzsyE,anonymous,NL,0.89999997615814208984375,"Corona ","Woningnood ",Vluchtelingen probleem,Vaccineren,Formatie,Woningnood,Proces p.r de vries,Tramongeluk,Corona,Vluchtelingen  opvang,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,,,,,,,,,,,,,,,,,,Disagree - 2,Disagree - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Slightly too little attention - 3,Slightly too little - 3,Slightly too little - 3,Moderately too little - 2,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Moderately too little - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Somewhat agree - 5,Somewhat agree - 5,Neither agree of disagree - 4,Neither agree of disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Moderately too little - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Moderately interesting - 3,9,2697881,NL,NOS,1,3,5,
2021-10-20 02:50:47,2021-10-20 02:54:42,IP Address,100,234,True,2021-10-20 02:54:42,R_7Wl0SXfevRNuQP7,anonymous,NL,1,"corona ","kabinet ","milleu ",gas...,"asielbeleid ",corona,"kabinet formatie ","asielbeleid ","klimaat ","milleu ",Agree -6,Agree -6,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Somewhat agree - 5,Neither agree of disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Moderately too little - 2,Far too little - 1,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Sometimes - 3,Extremely interesting - 5,5,4074720,NL,NOS,1,0,3,
2021-10-20 02:51:54,2021-10-20 02:55:06,IP Address,100,191,True,2021-10-20 02:55:06,R_3M3SeWb4sq7MgEv,anonymous,NL,1,milieu,zorg,corono,kids,n,voetbal,corona,regels,x,x,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Agree -6,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat agree - 5,Agree - 6,Agree - 6,Neither too much nor too little attention - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Moderately too much - 6,Slightly too much - 5,Slightly too much - 5,Somewhat agree - 5,Neither agree nor disagree - 4,Usually - 5,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,Neither agree of disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat disagree - 3,Somewhat disagree - 3,Slightly too much attention - 5,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Somewhat agree - 5,About half of the time - 4,Very interesting - 4,8,175178,NL,GA,4,3,4,
2021-10-20 02:53:13,2021-10-20 02:55:20,IP Address,100,126,True,2021-10-20 02:55:20,R_2rGrQyD5B7VzsvD,anonymous,NL,0.89999997615814208984375,Corona,Huizen,"Milieu ",Onderwijs,Werk,Corona,Gezondheidszorg,Huizen,Weet niet,Weet niet,Neither agree nor disagree - 4,Somewhat disagree - 3,Somewhat agree -5,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Somewhat agree - 5,Neither agree nor disagree - 4,About half of the time - 4,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Slightly too little attention - 3,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Somewhat disagree - 3,Neither agree nor disagree - 4,About half of the time - 4,Neither agree of disagree - 4,Somewhat disagree - 3,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither agree of disagree - 4,Slightly too much attention - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Neither agree nor disagree - 4,Somewhat disagree - 3,Usually - 5,Moderately interesting - 3,5,3821044,NL,GA,3,2,4,
2021-10-20 02:50:28,2021-10-20 02:55:43,IP Address,100,314,True,2021-10-20 02:55:43,R_YPK4SrgJFXNEuUV,anonymous,NL,1,Vorming kabinet,Huisvesting,Gezondheidszorg,Onderwijs,Misdaadbestrijding,Huisvesting,Corona,Vorming kabinet,Gezondheidszorg,Onderwijs,Somewhat agree -5,Agree -6,Agree -6,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Disagree - 2,,,,,,,,,,,,,,,,,,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Moderately too little - 2,Moderately too little - 2,Neither too much nor too little - 4,Neither too much nor too little - 4,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,,,,,,,,,,,,,,,,,,Very interesting - 4,3,4780007,NL,FB,0,5,0,
2021-10-20 02:52:19,2021-10-20 02:58:41,IP Address,100,382,True,2021-10-20 02:58:41,R_2PiZjB0m5YnnecU,anonymous,NL,1,Woningmarkt,Vluchtelingenpr,Armoedebestr,Fraudebestr,Klimaat,Toeslagen,Opvang asielzoekers,Voetbalstadions,Waterover new york,Woningbtekort,Agree -6,Agree -6,Agree -6,Neither agree nor disagree - 4,Disagree - 2,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Agree - 6,Agree - 6,About half of the time - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very interesting - 4,7,4096459,NL,GA,5,0,0,
